Gene	VarianceMedian_Islands	VarianceMedian_PocilloGG	VarianceMedian_SymbioGG	sd_Islands	sd_PocilloGG	sd_SymbioGG	Q1_Islands	Q1_PocilloGG	Q1_SymbioGG	Q3_Islands	Q3_PocilloGG	Q3_SymbioGG	Residuals
Pmea_00031260	0.04085	0.51115	0.07875	0.0169798497334251	0.0183004596729816	0.015524477121597	0.033625	0.505575	0.072575	0.045075	0.519525	0.084075	0.36925
Pmea_00019614	0.04395	0.5111	0	0.0109740235064078	0.0146677363246306	0	0.0416	0.50885	0	0.0469	0.51735	0	0.44495
Pmea_00013096	0.51105	0	0	0.204272501360612	0.00035	0.210995995603248	0.09435	0	0	0.5154	0	0.430025	0.48895
Pmea_00010723	0.511	0	0	0.00785235080286873	0.00031	0.00252922234225575	0.507775	0	0	0.5181	0	0	0.489
Pmea_00012465	0.51095	0	0.033	0.115232591572897	0.107514011917451	0.0145078802689776	0.50145	0	0.018275	0.5141	0	0.0342	0.45605
Pmea_00005685	0.51085	0	0	0.0124254240421107	0	0	0.50685	0	0	0.518375	0	0	0.48915
Pmea_00020463	0	0.1075	0.51085	0.0107368629619003	0.203480713840527	0.186533793390816	0	0.10185	0.3987	0	0.2219	0.5189	0.38165
Pmea_00009641	0.5108	0.0572	0	0.0262630504163495	0.0276785772098863	0.0292968967053792	0.480075	0	0	0.516925	0.0619	0.05375	0.432
Pmea_00000496	0.51075	0.111	0	0.132706789010566	0.0384957284656494	0.194341468970511	0.50165	0.104425	0	0.51445	0.114425	0	0.37825
Pmea_00020743	0	0.5107	0.0782	0.0071504521295206	0.0150936356579102	0.0149048441722139	0	0.502525	0.0761	0	0.515525	0.082225	0.4111
Pmea_00035206	0.5107	0.04565	0	0.0120829210378981	0.0104289640865808	0.00326136304156543	0.508075	0.04395	0	0.514125	0.0487	0	0.44365
Pmea_00020175	0.5105	0	0	0.0166043629108969	0	0.00134	0.5088	0	0	0.513175	0	0	0.4895
Pmea_00025563	0.12545	0.5105	0	0.00948667561063485	0.0127813065439217	0	0.120575	0.50375	0	0.131	0.516525	0	0.36405
Pmea_00032978	0.5102	0	0	0.00990471859797392	0	0.00740786334876254	0.505875	0	0	0.516625	0	0	0.4898
Pmea_00009165	0.51015	0.0182	0	0.0118871248148422	0.0108102399547275	0.00346533832359406	0.5062	0.011875	0	0.5183	0.022775	0	0.47165
Pmea_00012614	0.06585	0.5101	0	0.0138369341425276	0.0116092037242487	0	0.064875	0.5094	0	0.06775	0.5124	0	0.42405
Pmea_00018415	0.0363	0.5101	0.0201	0.00949613020597806	0.012363944158379	0.00909059115100594	0.034425	0.506525	0.01615	0.0386	0.51365	0.0239	0.4335
Pmea_00017631	0.51005	0	0.0936	0.0248341907315888	0.00104	0.021409107355931	0.504025	0	0.0879	0.52025	0	0.09995	0.39635
Pmea_00022050	0.106	0.51005	0	0.0140770728060872	0.0180523015684757	0.00638326560609691	0.101775	0.507375	0	0.10955	0.5134	0	0.38395
Pmea_00004043	0.51	0.08905	0.0213	0.0121368915861409	0.0224244406707044	0.0237308456306014	0.5047	0.0814	0.017275	0.516775	0.097025	0.025475	0.37965
Pmea_00004578	0.50995	0	0.01215	0.0137734070739321	0.00170478204418683	0.00524758058729945	0.506425	0	0.009975	0.5143	0	0.015025	0.4779
Pmea_00022885	0.5099	0	0.03685	0.024008964992269	0	0.0136179977465949	0.505525	0	0.0313	0.52225	0	0.0434	0.45325
Pmea_00025381	0.50985	0	0	0.00947302688605064	0	0	0.506675	0	0	0.515925	0	0	0.49015
Pmea_00009635	0.5098	0	0	0.0107782018608641	0	0	0.5048	0	0	0.516075	0	0	0.4902
Pmea_00026101	0.00625	0.50975	0.03055	0.00823224112495461	0.111867387846666	0.115962158905308	0.0028	0.500375	0.026425	0.011575	0.5168	0.036525	0.45345
Pmea_00000707	0.5097	0	0	0.012884529091084	0	0.00878523893996761	0.505225	0	0	0.5171	0	0	0.4903
Pmea_00004440	0	0.5097	0.21395	0.00788883471314447	0.0107807190405048	0.075592332804246	0	0.506175	0.1629	0	0.515325	0.283275	0.27635
Pmea_00020021	0.11715	0.50965	0	0.0282106824096866	0.0185583496686597	0.0632472395612742	0.110225	0.5059	0	0.12135	0.513225	0	0.3732
Pmea_00028782	0.50965	0	0.0588	0.0188745696051003	0.00387844548678196	0.0185004422551561	0.5028	0	0.054475	0.5203	0	0.06365	0.43155
Pmea_00001597	0.0629	0.5095	0.0627	0.010369263583916	0.0285827110807788	0.0222635652666827	0.060225	0.503825	0.057825	0.0693	0.5183	0.066025	0.3649
Pmea_00006564	0.5095	0.045	0.0161	0.0132993996598768	0.00857883671565903	0.0129051011368968	0.5046	0.0408	0.0121	0.51795	0.04975	0.0191	0.4294
Pmea_00014385	0.50945	0.0167	0	0.0111085734475856	0.0102438106467104	0	0.5051	0.011775	0	0.5165	0.01895	0	0.47385
Pmea_00033109	0.5094	0	0.0055	0.0115176544329288	0	0.00627299575622172	0.50385	0	0.002475	0.5175	0	0.01015	0.4851
Pmea_00035012	0.5093	0.06345	0	0.121145269187305	0.0216868647113893	0.142694441504789	0.500775	0.058875	0	0.513725	0.068775	0	0.42725
Pmea_00022691	0	0.50905	0	0.00295215637674011	0.0139014518172118	0	0	0.5059	0	0.002825	0.513025	0	0.49095
Pmea_00034556	0.50895	0	0	0.0121323663867118	0.00551966356389462	0.0130018169281967	0.50345	0	0	0.5143	3e-04	0.011825	0.49105
Pmea_00007442	0.50885	0	0	0.00830247687273034	0.0005140805266481	0	0.503725	0	0	0.51545	0	0	0.49115
