Tube_ID	Species_haplotype
12A33	Haplotype 8a
12C02	Haplotype 8a
13C10	Haplotype 8a
13C27	Haplotype 8a
14B44	Haplotype 8a
21C47	Haplotype 8a
21D01	Haplotype 8a
21D43	Haplotype 8a
21D48	Haplotype 8a
23B44	Haplotype 8a
26B61	Haplotype 8a
41C55	Haplotype 8a
43C45	Haplotype 8a
44B22	Haplotype 8a
44C42	Haplotype 8a
45A31	Haplotype 8a
46A17	Haplotype 8a
46B19	Haplotype 8a
46C18	Haplotype 8a
52B17	Haplotype 8a
52B26	Haplotype 8a
53B11	Haplotype 8a
54C57	Haplotype 8a
55D51	Haplotype 8a
56B38	Haplotype 8a
56D74	Haplotype 8a
A08	Haplotype 8a
A13	Haplotype 8a
A15	Haplotype 8a
A21	Haplotype 8a
A29	Haplotype 8a
A31	Haplotype 8a
A32	Haplotype 8a
A33	Haplotype 8a
A39	Haplotype 8a
A47	Haplotype 8a
C05	Haplotype 8a
C16	Haplotype 8a
C17	Haplotype 8a
C29	Haplotype 8a
C37	Haplotype 8a
C38	Haplotype 8a
C47	Haplotype 8a
C49	Haplotype 8a
C50	Haplotype 8a
C56	Haplotype 8a
C57	Haplotype 8a
C60	Haplotype 8a
C61	Haplotype 8a
C67	Haplotype 8a
E43	Haplotype 8a
G07	Haplotype 8a
G26	Haplotype 8a
G37	Haplotype 8a
H08	Haplotype 8a
H09	Haplotype 8a
H10	Haplotype 8a
H18	Haplotype 8a
H20	Haplotype 8a
J08	Haplotype 8a
J11	Haplotype 8a
J15	Haplotype 8a
J26	Haplotype 8a
J27	Haplotype 8a
J28	Haplotype 8a
J29	Haplotype 8a
J32	Haplotype 8a
J33	Haplotype 8a
J38	Haplotype 8a
J47	Haplotype 8a
J51	Haplotype 8a
51D21	Haplotype 8a
A40	Haplotype 9
J13	Haplotype 9
J42	Haplotype 9
45C28	Unknown haplotype Q
54A63	Unknown haplotype Q
J41	Unknown haplotype Q
21A45	Unknown haplotype W
G27	Unknown haplotype X
45A08	Unknown haplotype Z
56A50	Unknown haplotype Z

